algorithm,n_queens,seed,found,time_seconds,nodes_explored
backtracking_first_unassigned_variable_lcv,4,30,True,0.000104,8
backtracking_first_unassigned_variable_lcv,8,1,True,0.010605,128
backtracking_first_unassigned_variable_lcv,8,2,True,0.011335,128
backtracking_first_unassigned_variable_lcv,8,3,True,0.00912,128
backtracking_first_unassigned_variable_lcv,8,4,True,0.006503,128
backtracking_first_unassigned_variable_lcv,8,5,True,0.006541,128
backtracking_first_unassigned_variable_lcv,8,6,True,0.009422,128
backtracking_first_unassigned_variable_lcv,8,7,True,0.006387,128
backtracking_first_unassigned_variable_lcv,8,8,True,0.010963,128
backtracking_first_unassigned_variable_lcv,8,9,True,0.009087,128
backtracking_first_unassigned_variable_lcv,8,10,True,0.008542,128
backtracking_first_unassigned_variable_lcv,8,11,True,0.009294,128
backtracking_first_unassigned_variable_lcv,8,12,True,0.016654,128
backtracking_first_unassigned_variable_lcv,8,13,True,0.012043,128
backtracking_first_unassigned_variable_lcv,8,14,True,0.010882,128
backtracking_first_unassigned_variable_lcv,8,15,True,0.011865,128
backtracking_first_unassigned_variable_lcv,8,16,True,0.010555,128
backtracking_first_unassigned_variable_lcv,8,17,True,0.013412,128
backtracking_first_unassigned_variable_lcv,8,18,True,0.008713,128
backtracking_first_unassigned_variable_lcv,8,19,True,0.009621,128
backtracking_first_unassigned_variable_lcv,8,20,True,0.01087,128
backtracking_first_unassigned_variable_lcv,8,21,True,0.007199,128
backtracking_first_unassigned_variable_lcv,8,22,True,0.008345,128
backtracking_first_unassigned_variable_lcv,8,23,True,0.010461,128
backtracking_first_unassigned_variable_lcv,8,24,True,0.01255,128
backtracking_first_unassigned_variable_lcv,8,25,True,0.010939,128
backtracking_first_unassigned_variable_lcv,8,26,True,0.019208,128
backtracking_first_unassigned_variable_lcv,8,27,True,0.034215,128
backtracking_first_unassigned_variable_lcv,8,28,True,0.009496,128
backtracking_first_unassigned_variable_lcv,8,29,True,0.025561,128
backtracking_first_unassigned_variable_lcv,8,30,True,0.009843,128
backtracking_first_unassigned_variable_lcv,10,1,True,0.018337,157
backtracking_first_unassigned_variable_lcv,10,2,True,0.02409,157
backtracking_first_unassigned_variable_lcv,10,3,True,0.025767,157
backtracking_first_unassigned_variable_lcv,10,4,True,0.020095,157
backtracking_first_unassigned_variable_lcv,10,5,True,0.020651,157
backtracking_first_unassigned_variable_lcv,10,6,True,0.02608,157
backtracking_first_unassigned_variable_lcv,10,7,True,0.017799,157
backtracking_first_unassigned_variable_lcv,10,8,True,0.018636,157
backtracking_first_unassigned_variable_lcv,10,9,True,0.031817,157
backtracking_first_unassigned_variable_lcv,10,10,True,0.027973,157
backtracking_first_unassigned_variable_lcv,10,11,True,0.020604,157
backtracking_first_unassigned_variable_lcv,10,12,True,0.018817,157
backtracking_first_unassigned_variable_lcv,10,13,True,0.0204,157
backtracking_first_unassigned_variable_lcv,10,14,True,0.020607,157
backtracking_first_unassigned_variable_lcv,10,15,True,0.019231,157
backtracking_first_unassigned_variable_lcv,10,16,True,0.023387,157
backtracking_first_unassigned_variable_lcv,10,17,True,0.024548,157
backtracking_first_unassigned_variable_lcv,10,18,True,0.028209,157
backtracking_first_unassigned_variable_lcv,10,19,True,0.032222,157
backtracking_first_unassigned_variable_lcv,10,20,True,0.018584,157
backtracking_first_unassigned_variable_lcv,10,21,True,0.023003,157
backtracking_first_unassigned_variable_lcv,10,22,True,0.016819,157
backtracking_first_unassigned_variable_lcv,10,23,True,0.019351,157
backtracking_first_unassigned_variable_lcv,10,24,True,0.020718,157
backtracking_first_unassigned_variable_lcv,10,25,True,0.019341,157
backtracking_first_unassigned_variable_lcv,10,26,True,0.020464,157
backtracking_first_unassigned_variable_lcv,10,27,True,0.016346,157
backtracking_first_unassigned_variable_lcv,10,28,True,0.017567,157
backtracking_first_unassigned_variable_lcv,10,29,True,0.016384,157
backtracking_first_unassigned_variable_lcv,10,30,True,0.01915,157
backtracking_first_unassigned_variable_lcv,12,1,True,0.026618,128
backtracking_first_unassigned_variable_lcv,12,2,True,0.025845,128
backtracking_first_unassigned_variable_lcv,12,3,True,0.031066,128
backtracking_first_unassigned_variable_lcv,12,4,True,0.026857,128
backtracking_first_unassigned_variable_lcv,12,5,True,0.03142,128
backtracking_first_unassigned_variable_lcv,12,6,True,0.030732,128
backtracking_first_unassigned_variable_lcv,12,7,True,0.025544,128
backtracking_first_unassigned_variable_lcv,12,8,True,0.031139,128
backtracking_first_unassigned_variable_lcv,12,9,True,0.025815,128
backtracking_first_unassigned_variable_lcv,12,10,True,0.02531,128
backtracking_first_unassigned_variable_lcv,12,11,True,0.028842,128
backtracking_first_unassigned_variable_lcv,12,12,True,0.024733,128
backtracking_first_unassigned_variable_lcv,12,13,True,0.023803,128
backtracking_first_unassigned_variable_lcv,12,14,True,0.030271,128
backtracking_first_unassigned_variable_lcv,12,15,True,0.057067,128
backtracking_first_unassigned_variable_lcv,12,16,True,0.025832,128
backtracking_first_unassigned_variable_lcv,12,17,True,0.051061,128
backtracking_first_unassigned_variable_lcv,12,18,True,0.041441,128
backtracking_first_unassigned_variable_lcv,12,19,True,0.054214,128
backtracking_first_unassigned_variable_lcv,12,20,True,0.027094,128
backtracking_first_unassigned_variable_lcv,12,21,True,0.030307,128
