algorithm_name,env_n,size,best_solution,H,states,time
HC,28,15,"(1, 11, 2, 8, 10, 12, 0, 9, 5, 13, 6, 14, 3, 7, 4)",103,317,0.0014607906341552734
HC,29,15,"(13, 1, 5, 9, 11, 4, 8, 12, 3, 6, 0, 7, 10, 14, 2)",104,317,0.0014667510986328125
SA,0,4,"(2, 0, 3, 1)",6,21,0.0024230480194091797
SA,1,4,"(2, 0, 3, 1)",6,17,0.00029087066650390625
SA,2,4,"(1, 3, 0, 2)",6,25,0.0003485679626464844
SA,3,4,"(1, 3, 0, 2)",6,22,0.0002734661102294922
SA,4,4,"(1, 3, 0, 2)",6,2,9.298324584960938e-06
SA,5,4,"(2, 0, 3, 1)",6,17,0.0001678466796875
SA,6,4,"(2, 0, 3, 1)",6,20,0.00022101402282714844
SA,7,4,"(2, 0, 3, 1)",6,4,5.125999450683594e-05
SA,8,4,"(1, 3, 0, 2)",6,18,0.00027561187744140625
SA,9,4,"(1, 3, 0, 2)",6,21,0.00024080276489257812
SA,10,4,"(2, 0, 3, 1)",6,12,0.00018453598022460938
SA,11,4,"(2, 0, 3, 1)",6,14,0.00013446807861328125
SA,12,4,"(1, 3, 0, 2)",6,41,0.0005478858947753906
SA,13,4,"(2, 0, 3, 1)",6,8,0.00010037422180175781
SA,14,4,"(1, 3, 0, 2)",6,15,0.00016355514526367188
SA,15,4,"(1, 3, 0, 2)",6,7,8.916854858398438e-05
SA,16,4,"(2, 0, 3, 1)",6,22,0.00022220611572265625
SA,17,4,"(1, 3, 0, 2)",6,24,0.0003218650817871094
SA,18,4,"(2, 0, 3, 1)",6,24,0.00026798248291015625
SA,19,4,"(2, 0, 3, 1)",6,11,0.00016760826110839844
SA,20,4,"(1, 3, 0, 2)",6,2,1.0013580322265625e-05
SA,21,4,"(1, 3, 0, 2)",6,9,9.679794311523438e-05
SA,22,4,"(1, 3, 0, 2)",6,25,0.0003306865692138672
SA,23,4,"(2, 0, 3, 1)",6,2,9.059906005859375e-06
SA,24,4,"(2, 0, 3, 1)",6,12,0.00012564659118652344
SA,25,4,"(1, 3, 0, 2)",6,20,0.0002498626708984375
SA,26,4,"(1, 3, 0, 2)",6,4,5.245208740234375e-05
SA,27,4,"(2, 0, 3, 1)",6,17,0.000152587890625
SA,28,4,"(2, 0, 3, 1)",6,4,8.916854858398438e-05
SA,29,4,"(1, 3, 0, 2)",6,42,0.0006656646728515625
SA,0,8,"(3, 1, 6, 2, 5, 7, 0, 4)",28,80,0.02399611473083496
SA,1,8,"(7, 3, 0, 2, 5, 1, 6, 4)",28,54,0.0011515617370605469
SA,2,8,"(2, 5, 7, 1, 3, 0, 6, 4)",28,108,0.0033152103424072266
SA,3,8,"(2, 4, 6, 0, 3, 1, 7, 5)",28,46,0.0010509490966796875
SA,4,8,"(0, 6, 3, 5, 7, 1, 4, 2)",28,134,0.003798246383666992
SA,5,8,"(5, 2, 6, 1, 7, 4, 0, 3)",28,128,0.0036258697509765625
SA,6,8,"(5, 3, 6, 0, 7, 1, 4, 2)",28,293,0.010905265808105469
SA,7,8,"(3, 6, 4, 1, 5, 0, 2, 7)",28,117,0.003670215606689453
SA,8,8,"(1, 3, 5, 7, 2, 0, 6, 4)",28,72,0.0029060840606689453
SA,9,8,"(4, 6, 1, 3, 7, 0, 2, 5)",28,14,0.0002639293670654297
SA,10,8,"(1, 5, 7, 2, 0, 3, 6, 4)",28,77,0.0019919872283935547
SA,11,8,"(6, 2, 7, 1, 4, 0, 5, 3)",28,44,0.0009512901306152344
SA,12,8,"(1, 3, 5, 7, 2, 0, 6, 4)",28,81,0.0020411014556884766
SA,13,8,"(5, 3, 6, 0, 7, 1, 4, 2)",28,573,0.02147960662841797
SA,14,8,"(5, 3, 0, 4, 7, 1, 6, 2)",28,105,0.0031287670135498047
SA,15,8,"(3, 6, 2, 7, 1, 4, 0, 5)",28,44,0.0011398792266845703
SA,16,8,"(4, 2, 0, 5, 7, 1, 3, 6)",28,157,0.004904270172119141
SA,17,8,"(5, 2, 0, 7, 4, 1, 3, 6)",28,93,0.0027053356170654297
