agent_type,environment_size,dirt_rate,total_dirt_cells,timestamp,server_url,environment_id,final_performance,total_actions,successful_actions,completion_reason,steps_to_completion
SimpleReflexAgent,"[2, 2]",0.4,1,2025-10-05T19:08:44.170368,http://localhost:5000,481fd236-7dd8-4614-a984-59125b8993ac,1,5,5,all_cleaned,5
SimpleReflexAgent,"[8, 8]",0.2,12,2025-10-05T19:12:08.878353,http://localhost:5000,4f071a1d-d1f1-4316-9d6b-fa1c30bd09cc,12,396,396,all_cleaned,396
SimpleReflexAgent,"[16, 16]",0.4,102,2025-10-05T19:21:27.726640,http://localhost:5000,49492d57-fa0b-48c4-b9c6-3368c51fc226,71,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[4, 4]",0.2,3,2025-10-05T19:09:26.168354,http://localhost:5000,8078cd0b-11b4-458c-8b7f-2e7e9d97188d,3,65,65,all_cleaned,65
SimpleReflexAgent,"[8, 8]",0.4,25,2025-10-05T19:13:22.356984,http://localhost:5000,097fc439-3380-45c9-ad8e-3974eccca8d9,25,367,367,all_cleaned,367
SimpleReflexAgent,"[8, 8]",0.2,12,2025-10-05T19:12:03.068783,http://localhost:5000,79669024-402c-4936-945a-af744b994ab8,12,354,354,all_cleaned,354
SimpleReflexAgent,"[8, 8]",0.1,6,2025-10-05T19:11:10.655348,http://localhost:5000,5a6857b3-43e3-4d1d-894b-393eed27ddbb,6,587,587,all_cleaned,587
SimpleReflexAgent,"[16, 16]",0.1,25,2025-10-05T19:15:40.577524,http://localhost:5000,97bb1609-e40f-4fa6-aa1d-6e6d19b03976,23,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[64, 64]",0.4,1638,2025-10-05T19:47:41.821758,http://localhost:5000,3a0e98df-b2ac-4bfa-8c59-b5577e965c0f,99,1000,1000,max_steps_reached,1000
SimpleReflexAgent,"[4, 4]",0.1,1,2025-10-05T19:09:14.947189,http://localhost:5000,dcb0fb5f-6167-4e32-90b1-085e76b7ed83,1,39,39,all_cleaned,39
